ticker,weight,beta,sector
AAPL,0.063,1.29,Technology
AMZN,0.051,1.26,Consumer Cyclical
BYD,0.023,1.78,Consumer Cyclical
COP,0.015,1.29,Energy
CSCO,0.034,1,Technology
CVS,0.032,0.62,Healthcare
DIS,0.02,1.29,Communication Services
EMN,0.027,1.5,Materials
GOOGL,0.057,1.1,Communication Services
HUM,0.043,0.72,Healthcare
JNJ,0.042,0.53,Healthcare
JPM,0.048,1.1,Financial Services
KO,0.022,0.54,Consumer Defensive
MCD,0.014,0.63,Consumer Cyclical
MCO,0.03,1.3,Financial Services
MMC,0.025,0.93,Financial Services
MPC,0.016,1.64,Energy
MSFT,0.072,0.93,Technology
MTZ,0.044,1.36,Industrials
NEE,0.031,0.46,Utilities
NVDA,0.031,1.77,Technology
PLD,0.031,0.97,Real Estate
SLB,0.014,1.76,Energy
TSN,0.027,0.76,Consumer Defensive
V,0.041,0.97,Technology
WCN,0.039,0.68,Industrials
WMT,0.034,0.49,Consumer Defensive
XLV,0.017,0.66,Healthcare
